nr_ano;nr_mes;ds_pais_uf;nm_regiao;sg_uf;nr_zona;ds_estado_civil;ds_grau_instrucao;cd_grau_instrucao;pc_eleitor_biometria;qt_eleitor;qt_eleitor_biometria;dt_carga
2024;1;Brasil;SUDESTE;SP;127;DIVORCIADO;ENSINO MÉDIO INCOMPLETO;5;0,9303;330;307;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;VIÚVO;SUPERIOR COMPLETO;8;0,968;968;937;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;CASADO;ENSINO MÉDIO INCOMPLETO;5;0,9468;3198;3028;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;SOLTEIRO;LÊ E ESCREVE;2;0,8387;465;390;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;SOLTEIRO;ENSINO MÉDIO INCOMPLETO;5;0,6635;13939;9248;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;SOLTEIRO;ENSINO MÉDIO INCOMPLETO;5;0,6828;12080;8248;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;SOLTEIRO;SUPERIOR COMPLETO;8;0,9781;7070;6915;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;VIÚVO;SUPERIOR COMPLETO;8;0,9644;309;298;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;282;SEPARADO JUDICIALMENTE;ENSINO FUNDAMENTAL COMPLETO;4;0,9444;162;153;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;DIVORCIADO;LÊ E ESCREVE;2;0,9558;181;173;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;282;SEPARADO JUDICIALMENTE;SUPERIOR INCOMPLETO;7;0,9792;48;47;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;SEPARADO JUDICIALMENTE;LÊ E ESCREVE;2;0,9091;33;30;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;DIVORCIADO;SUPERIOR COMPLETO;8;0,9852;1624;1600;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;282;CASADO;SUPERIOR INCOMPLETO;7;0,9692;1200;1163;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;SOLTEIRO;ENSINO FUNDAMENTAL COMPLETO;4;0,7841;3427;2687;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;SOLTEIRO;SUPERIOR INCOMPLETO;7;0,8821;5176;4566;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;CASADO;SUPERIOR COMPLETO;8;0,9808;31955;31341;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;SOLTEIRO;ENSINO MÉDIO INCOMPLETO;5;0,6447;10021;6461;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;282;SOLTEIRO;ENSINO MÉDIO COMPLETO;6;0,8207;16923;13889;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;SOLTEIRO;ENSINO FUNDAMENTAL INCOMPLETO;3;0,8352;6179;5161;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;CASADO;ENSINO MÉDIO INCOMPLETO;5;0,9423;2063;1944;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;SEPARADO JUDICIALMENTE;SUPERIOR INCOMPLETO;7;0,99;100;99;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;VIÚVO;ENSINO MÉDIO INCOMPLETO;5;0,9485;194;184;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;CASADO;ENSINO MÉDIO COMPLETO;6;0,9767;25451;24858;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;VIÚVO;ENSINO MÉDIO INCOMPLETO;5;0,9385;130;122;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;SEPARADO JUDICIALMENTE;ENSINO FUNDAMENTAL COMPLETO;4;0,964;278;268;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;SEPARADO JUDICIALMENTE;SUPERIOR INCOMPLETO;7;0,9753;81;79;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;282;VIÚVO;ENSINO MÉDIO INCOMPLETO;5;0,9732;112;109;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;CASADO;ANALFABETO;1;0,9526;485;462;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;SOLTEIRO;ANALFABETO;1;0,8456;609;515;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;DIVORCIADO;ENSINO MÉDIO COMPLETO;6;0,9714;3633;3529;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;SEPARADO JUDICIALMENTE;ANALFABETO;1;0,8889;18;16;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;VIÚVO;SUPERIOR INCOMPLETO;7;1;95;95;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;VIÚVO;ENSINO FUNDAMENTAL INCOMPLETO;3;0,9639;970;935;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;282;DIVORCIADO;ENSINO MÉDIO COMPLETO;6;0,9737;1828;1780;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;DIVORCIADO;SUPERIOR INCOMPLETO;7;0,9603;781;750;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;DIVORCIADO;ENSINO MÉDIO INCOMPLETO;5;0,952;479;456;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;VIÚVO;ENSINO FUNDAMENTAL INCOMPLETO;3;0,9694;1501;1455;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;SEPARADO JUDICIALMENTE;ANALFABETO;1;0,9697;33;32;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;SOLTEIRO;SUPERIOR COMPLETO;8;0,9682;13622;13189;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;282;DIVORCIADO;LÊ E ESCREVE;2;0,931;87;81;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;SOLTEIRO;SUPERIOR INCOMPLETO;7;0,8797;7400;6510;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;CASADO;ENSINO FUNDAMENTAL COMPLETO;4;0,9533;3017;2876;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;SEPARADO JUDICIALMENTE;ANALFABETO;1;1;16;16;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;VIÚVO;SUPERIOR INCOMPLETO;7;0,9716;141;137;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;SEPARADO JUDICIALMENTE;ENSINO FUNDAMENTAL COMPLETO;4;0,9551;267;255;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;SEPARADO JUDICIALMENTE;LÊ E ESCREVE;2;0,9278;97;90;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;VIÚVO;ANALFABETO;1;0,9478;115;109;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;412;CASADO;ENSINO FUNDAMENTAL COMPLETO;4;0,96;6144;5898;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;SOLTEIRO;ANALFABETO;1;0,8715;397;346;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;DIVORCIADO;ENSINO MÉDIO COMPLETO;6;0,9704;2537;2462;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;SEPARADO JUDICIALMENTE;ENSINO FUNDAMENTAL COMPLETO;4;0,949;157;149;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;282;SEPARADO JUDICIALMENTE;LÊ E ESCREVE;2;0,9512;41;39;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;282;SOLTEIRO;ANALFABETO;1;0,856;375;321;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;411;VIÚVO;ENSINO MÉDIO INCOMPLETO;5;0,9626;187;180;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;282;DIVORCIADO;SUPERIOR INCOMPLETO;7;0,9757;206;201;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;CASADO;SUPERIOR INCOMPLETO;7;0,9681;3227;3124;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;SOLTEIRO;ENSINO FUNDAMENTAL INCOMPLETO;3;0,8609;4047;3484;2024-02-01 14:13:58
2024;1;Brasil;SUDESTE;SP;127;SOLTEIRO;ENSINO FUNDAMENTAL COMPLETO;4;0,8211;2130;1749;2024-02-01 14:13:58
