aa_eleicao;sg_uf;nm_municipio_tse;cd_cargo;nm_cargo;qt_votos_validos_qe;qt_vagas_qe;vr_quociente_eleitoral;tx_legenda_tot;qt_vagas_qp_preenchida;qt_vagas_media_qp;qt_vagas_qp_obtida;qt_votos_coligacao_qp
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PT;7;1;7;653328
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PSDB;6;2;6;623927
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PSOL;4;2;4;444235
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;DEM;4;1;4;439714
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;REPUBLICANOS;3;1;3;324787
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PODE;2;1;2;267254
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;MDB;2;1;2;257464
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PSD;2;1;2;255045
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PATRIOTA;2;1;2;222631
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;NOVO;2;0;2;191665
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PSB;1;1;1;180895
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PL;1;1;1;166991
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PSL;1;0;1;132867
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PP;1;0;1;121324
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PV;1;0;1;114532
2020;SP;SÃO BERNARDO DO CAMPO;13;Vereador;389252;28;13902;PSDB;7;3;7;103128
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PSC;0;1;0;81037
2020;SP;GUARULHOS;13;Vereador;590358;34;17363;PSD;4;2;4;80372
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;SOLIDARIEDADE;0;1;0;77707
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PTB;0;1;0;74229
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PC do B;0;0;0;69209
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;CIDADANIA;0;0;0;65418
2020;SP;SANTO ANDRÉ;13;Vereador;332125;21;15815;PSDB;4;2;4;64904
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PRTB;0;0;0;61217
2020;SP;GUARULHOS;13;Vereador;590358;34;17363;PT;3;1;3;59537
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;AVANTE;0;0;0;58395
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;PDT;0;0;0;54988
2020;SP;CAMPINAS;13;Vereador;484253;33;14674;PSB;3;1;3;54171
2020;SP;SÃO JOSÉ DOS CAMPOS;13;Vereador;345932;21;16473;PSDB;3;2;3;54132
2020;SP;SÃO PAULO;13;Vereador;5080790;55;92378;REDE;0;0;0;51923
