sg_uf;nr_zona;nm_municipio;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
SP;127;SÃO JOSÉ DOS CAMPOS;11;Prefeito;45;FELÍCIO RAMUTH;FELÍCIO RAMUTH;PSDB;PSDB / PSB / PSC / PROS / PMDB / PTB / PT do B;1;Eleito;2016-10-02 22:11:12;70998;250000038921;;2;;59197;
SP;127;SÃO JOSÉ DOS CAMPOS;11;Prefeito;13;CARLOS JOSE DE ALMEIDA;CARLINHOS ALMEIDA;PT;PP / PDT / PT / PPS / PSDC / PRTB / PRP / PSD / PC do B / SD;1;Não Eleito;2016-10-02 22:11:12;70998;250000025660;;2;;13703;
SP;127;SÃO JOSÉ DOS CAMPOS;11;Prefeito;10;SHAKESPEARE VIANA CARVALHO;SHAKESPEARE;PRB;PRB / PR / DEM / PHS / PMB / PTC;1;Não Eleito;2016-10-02 22:11:12;70998;250000051170;;2;;7965;
SP;127;SÃO JOSÉ DOS CAMPOS;11;Prefeito;43;CLAUDE MARY DE MOURA;CLAUDE MOURA;PV;PV / PTN;1;Não Eleito;2016-10-02 22:11:12;70998;250000020612;;2;;2354;
SP;127;SÃO JOSÉ DOS CAMPOS;11;Prefeito;16;ANTONIO DONIZETE FERREIRA;TONINHO FERREIRA;PSTU;PSTU / PSOL;1;Não Eleito;2016-10-02 22:11:12;70998;250000072522;;2;;952;
SP;127;SÃO JOSÉ DOS CAMPOS;11;Prefeito;51;LUIZ CARLOS DE OLIVEIRA;LUIZ CARLOS;PEN;PEN / PSL;1;Não Eleito;2016-10-02 22:11:12;70998;250000080047;;2;;276;
SP;127;SÃO JOSÉ DOS CAMPOS;13;Vereador;45605;FERNANDO LUIZ ISOPPO PETITI;FERNANDO PETITI DA FARMÁCIA;PSDB;PSDB / PSB;1;Eleito;2016-11-25 16:32:33;70998;250000042618;;2;;4156;
SP;127;SÃO JOSÉ DOS CAMPOS;13;Vereador;45654;JUVENIL DE ALMEIDA SILVERIO;JUVENIL SILVERIO;PSDB;PSDB / PSB;1;Eleito;2016-11-25 16:32:33;70998;250000042628;;2;;3085;
SP;127;SÃO JOSÉ DOS CAMPOS;13;Vereador;45620;SERGIO CAMARGO DA SILVA;SERGIO CAMARGO;PSDB;PSDB / PSB;1;Eleito;2016-11-25 16:32:33;70998;250000042612;;2;;2338;
SP;127;SÃO JOSÉ DOS CAMPOS;13;Vereador;15192;ELTON ALVES RIBEIRO DE CARVALHO JUNIOR;DR, ELTON JUNIOR;PMDB;PMDB / PSC / PROS;1;Eleito;2016-11-25 16:32:33;70998;250000037148;;2;;2218;
