sg_uf;nr_zona;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;pc_votos_validos;qt_votos_nom_validos;qt_votos_concorrentes
SP;127;1;Presidente;22;JAIR MESSIAS BOLSONARO;JAIR BOLSONARO;PL;PP / REPUBLICANOS / PL;1;Segundo turno;2022-10-04 12:06:36;BR;280001618036;Válido;2040602022;0,5522;61095;110642
SP;127;1;Presidente;13;LUIZ INÁCIO LULA DA SILVA;LULA;PT;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS;1;Segundo turno;2022-10-04 12:06:36;BR;280001607829;Válido;2040602022;0,3144;34788;110642
SP;127;1;Presidente;15;SIMONE NASSAR TEBET;SIMONE TEBET;MDB;MDB / (PSDB/CIDADANIA) / PODE;1;Não Eleito;2022-10-04 12:06:36;BR;280001607833;Válido;2040602022;0,0767;8486;110642
SP;127;1;Presidente;12;CIRO FERREIRA GOMES;CIRO GOMES;PDT;PDT;1;Não Eleito;2022-10-04 12:06:36;BR;280001612393;Válido;2040602022;0,0354;3917;110642
SP;127;1;Presidente;30;LUIZ FELIPE CHAVES D'AVILA;FELIPE D'AVILA;NOVO;NOVO;1;Não Eleito;2022-10-04 12:06:36;BR;280001603612;Válido;2040602022;0,0148;1640;110642
SP;127;1;Presidente;44;SORAYA VIEIRA THRONICKE;SORAYA THRONICKE;UNIÃO;UNIÃO;1;Não Eleito;2022-10-04 12:06:36;BR;280001644128;Válido;2040602022;0,0038;419;110642
SP;127;1;Presidente;21;SOFIA PADUA MANZANO;SOFIA MANZANO;PCB;PCB;1;Não Eleito;2022-10-04 12:06:36;BR;280001600167;Válido;2040602022;0,0007;78;110642
SP;127;1;Presidente;80;LEONARDO PÉRICLES VIEIRA ROQUE;LÉO PÉRICLES;UP;UP;1;Não Eleito;2022-10-04 12:06:36;BR;280001602702;Válido;2040602022;0,0007;72;110642
SP;127;1;Presidente;16;VERA LUCIA PEREIRA DA SILVA SALGADO;VERA;PSTU;PSTU;1;Não Eleito;2022-10-04 12:06:36;BR;280001607831;Válido;2040602022;0,0006;63;110642
SP;127;1;Presidente;14;KELMON LUIS DA SILVA SOUZA;PADRE KELMON;PTB;PTB;1;Não Eleito;2022-10-04 12:06:36;BR;280001734029;Válido;2040602022;0,0006;62;110642
SP;127;1;Presidente;27;JOSE MARIA EYMAEL;CONSTITUINTE EYMAEL;DC;DC;1;Não Eleito;2022-10-04 12:06:36;BR;280001677435;Válido;2040602022;0,0002;22;110642
SP;127;3;Governador;10;TARCISIO GOMES DE FREITAS;TARCÍSIO;REPUBLICANOS;REPUBLICANOS / PL / PSD / PTB / PSC / PMN;1;Segundo turno;2022-11-08 12:52:09;SP;250001615967;Válido;2040602022;0,5494;57576;104791
SP;127;3;Governador;13;FERNANDO HADDAD;FERNANDO HADDAD;PT;(PT/PC do B/PV) / PSB / (PSOL/REDE) / AGIR;1;Segundo turno;2022-11-08 12:52:09;SP;250001612465;Válido;2040602022;0,2688;28167;104791
SP;127;3;Governador;45;RODRIGO GARCIA;RODRIGO GARCIA;PSDB;(PSDB/CIDADANIA) / AVANTE / MDB / PATRIOTA / UNIÃO / PODE / PP / SOLIDARIEDADE;1;Não Eleito;2022-11-08 12:52:09;SP;250001612450;Válido;2040602022;0,1448;15178;104791
SP;127;3;Governador;30;VINICIUS LAZZER POIT;VINICIUS POIT;NOVO;NOVO;1;Não Eleito;2022-11-08 12:52:09;SP;250001597898;Válido;2040602022;0,0244;2552;104791
SP;127;3;Governador;12;ELVIS LEONARDO CEZAR;ELVIS CEZAR;PDT;PDT;1;Não Eleito;2022-11-08 12:52:09;SP;250001639534;Válido;2040602022;0,0054;563;104791
SP;127;3;Governador;80;CAROLINA REJAILI VIGLIAR;CAROL VIGLIAR;UP;UP;1;Não Eleito;2022-11-08 12:52:09;SP;250001601996;Válido;2040602022;0,0034;352;104791
SP;127;3;Governador;21;GABRIEL MAURILIO COLOMBO DE FREITAS;GABRIEL COLOMBO;PCB;PCB;1;Não Eleito;2022-11-08 12:52:09;SP;250001638553;Válido;2040602022;0,0022;233;104791
