aa_eleicao;cd_tipo_eleicao;nm_tipo_eleicao;cd_eleicao;ds_eleicao;dt_eleicao;sg_uf;cd_municipio;nm_municipio;nr_zona;nm_local_votacao;ds_local_votacao_endereco;nr_secao;nr_local_votacao;cd_modelo_urna;ds_modelo_urna;nr_turno;ds_cargo;nr_votavel;nm_votavel;sq_candidato;qt_aptos;qt_comparecimento;qt_abstencoes;qt_votos_nominais;qt_votos;dt_carga;qt_registros
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;411;EMEF PROFA ILGA PUSPLATAIS;R UBERLÂNDIA , 465;143;1210;2004;UE 2004;1;Prefeito;45;ALEXANDRE BLANCO NEMA;;390;336;54;321;123;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;411;EMEF PROFA PALMYRA SANTANNA;AV PRES JUSCELINO KUBITSCHEK DE OLIVEIRA, 6907;291;1082;2004;UE 2004;1;Prefeito;45;ALEXANDRE BLANCO NEMA;;394;328;66;308;143;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;411;EMEF PROFA ÁUREA CANTINHO RODRIGUES;R IRÃ, 135;171;1287;2004;UE 2004;1;Prefeito;16;ERNESTO GRADELLA NETO;;435;330;105;296;3;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;127;UNIVAP - CENTRO;PRACA CÂNDIDO DIAS CASTEJON, 116;505;1236;2004;UE 2004;1;Prefeito;13;CARLOS JOSE DE ALMEIDA;;394;313;81;287;91;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;282;E,M,E,F, PROF,DOSULINA C,CHAVES DE ANDRADE;AV,PICO DAS AGULHAS NEGRAS - 1594;117;1163;2004;UE 2004;1;Prefeito;27;FABRÍCIO ALBERTO CORREIA;;455;416;39;391;3;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;412;EMEF PROFA MERCEDES CARNEVALLI KLEIN;AVENIDA CASSIOPÉIA , 425;77;1112;2004;UE 2004;1;Prefeito;40;ANTONIO BAKLOS ALWAN;;413;357;56;332;6;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;412;EE PROF JOSÉ VIEIRA MACEDO;RUA IPIAU, 162;69;1180;2004;UE 2004;1;Prefeito;43;CRISTIANO PINTO FERREIRA;;390;330;60;308;6;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;412;EMEI PROFA JANE PALUMBO;RUA EDILSON SABINO DOS SANTOS, S/N;341;1589;2004;UE 2004;1;Prefeito;50;ANTONIO GILBERTO SILVÉRIO;;374;295;79;264;1;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;282;E,E, PROF DIRCE ELIAS;AV- PRINCIPAL,S/N;122;1996;2004;UE 2004;1;Prefeito;96;VOTO NULO;;389;346;43;322;13;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;127;COLÉGIO OLAVO BILAC;R FRANCISCO PAES, 832;571;2232;2004;UE 2004;1;Prefeito;40;ANTONIO BAKLOS ALWAN;;385;294;91;270;4;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;412;EE PROF FRANCISCO LOPES DE AZEVEDO;RUA ANTARES, 330;201;1104;2004;UE 2004;1;Prefeito;13;CARLOS JOSE DE ALMEIDA;;389;329;60;313;128;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;411;EMEF PROFA MARIA AMELIA WAKAMATSU;R VIRGILIO FERREIRA DE OLIVEIRA, 40;261;1325;2004;UE 2004;1;Prefeito;13;CARLOS JOSE DE ALMEIDA;;395;334;61;304;248;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;127;EE JULIA BERNARDES RODRIGUES;AV SAO CRISTOVAO, 843;619;2003;2004;UE 2004;1;Prefeito;45;ALEXANDRE BLANCO NEMA;;308;258;50;237;85;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;127;ESCOLA TECNICA PROF, EVERARDO PASSOS;AV, BARÃO DO RIO BRANCO, 882;142;1090;2004;UE 2004;1;Prefeito;95;VOTO BRANCO;;442;342;100;325;4;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;127;EE PROFA MARIA APARECIDA VERISSIMO MADUREIRA RAMOS;R DOS CARVALHOS, 30;527;1350;2004;UE 2004;1;Prefeito;40;ANTONIO BAKLOS ALWAN;;64;49;15;41;1;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;282;E,M,E,F, PROFA ANA BERLING MACEDO;RUA ALZIRO LEBRAO -  318;166;1058;2004;UE 2004;1;Prefeito;16;ERNESTO GRADELLA NETO;;389;326;63;307;1;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;412;EMEF PROFA ELZA REGINA FERREIRA BEVILACQUA;RUA  BRENO DE MOURA, S/N;178;1260;2004;UE 2004;1;Prefeito;43;CRISTIANO PINTO FERREIRA;;458;392;66;368;6;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;412;EMEI PROFA MARILDA APARECIDA MONTEMÓR;PRAÇA VICTOR HUGO, S/N;98;1325;2004;UE 2004;1;Prefeito;96;VOTO NULO;;389;343;46;319;17;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;127;EE PROFA, DINORA PEREIRA RAMOS BRITO;AV, JOAO RODOLFO CASTELLI , 157;280;1171;2004;UE 2004;1;Prefeito;96;VOTO NULO;;393;338;55;312;16;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;282;E,M,E,F, PROFA ANA BERLING MACEDO;RUA ALZIRO LEBRAO -  318;103;1058;2004;UE 2004;1;Prefeito;27;FABRÍCIO ALBERTO CORREIA;;414;348;66;324;3;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;127;EE CEL JOAO CURSINO;AV, FRANCISCO JOSE LONGO,782;126;1082;2004;UE 2004;1;Prefeito;16;ERNESTO GRADELLA NETO;;414;319;95;300;3;2021-07-27 17:04:35;1
2012;2;Eleição Ordinária;47;ELEIÇÃO MUNICIPAL 2012;2012-10-07 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;127;EE CEL JOAO CURSINO;AV, FRANCISCO JOSE LONGO,782;124;1082;2004;UE 2004;1;Prefeito;16;ERNESTO GRADELLA NETO;;410;319;91;309;2;2021-07-27 17:04:35;1
