aa_eleicao;cd_tipo_eleicao;nm_tipo_eleicao;cd_eleicao;ds_eleicao;dt_eleicao;sg_uf;cd_municipio;nm_municipio;nr_zona;nm_local_votacao;ds_local_votacao_endereco;nr_secao;nr_local_votacao;cd_modelo_urna;ds_modelo_urna;nr_turno;ds_cargo;nr_votavel;nm_votavel;sq_candidato;qt_aptos;qt_comparecimento;qt_abstencoes;qt_votos_nominais;qt_votos;dt_carga;qt_registros
2022;2;Eleição Ordinária;545;Eleição Geral Federal 2022;2022-10-30 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;282;E,M,E,F, DOSULINA C,CHAVES DE ANDRADE;AV, PICO DAS AGULHAS NEGRAS, 1594, ALTOS DE SANTANA, S, J, DOS CAMPOS;197;1163;2015;UE 2015;2;Presidente;22;JAIR MESSIAS BOLSONARO;280001618036;404;326;78;314;190;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;545;Eleição Geral Federal 2022;2022-10-30 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;282;E,M,E,F, MARIANA TEIXEIRA CORNELIO;RUA BENEDITO PEREIRA LIMA, 200, JARDIM TELESPARK, SÃO JOSÉ DOS CAMPOS;141;1082;2010;UE 2010;2;Presidente;96;VOTO NULO;-1;284;235;49;225;9;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;545;Eleição Geral Federal 2022;2022-10-30 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;411;E,E, PROF, XENOFONTE STRABÃO CASTRO;RUA ABELARDO ALVES DE PAIVA, 53;229;1333;2020;UE 2020;2;Presidente;96;VOTO NULO;-1;389;311;78;291;13;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;545;Eleição Geral Federal 2022;2022-10-30 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;412;EMEF PROF ALVARO GONCALVES;RUA ALBERTINA PEREIRA LIMA, 151;269;1562;2020;UE 2020;2;Presidente;95;VOTO BRANCO;-1;357;281;76;268;9;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;545;Eleição Geral Federal 2022;2022-10-30 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;411;E,E, PROF, AMINTAS ROCHA BRITO;RUA ANÍBAL FERRI, 193;194;1104;2015;UE 2015;2;Presidente;95;VOTO BRANCO;-1;405;338;67;315;13;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;545;Eleição Geral Federal 2022;2022-10-30 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;412;CENTRO EDUCACIONAL DO SESI;RUA ELMANO FERREIRA VELOSO, S/N;445;1546;2015;UE 2015;2;Presidente;22;JAIR MESSIAS BOLSONARO;280001618036;386;330;56;317;195;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;545;Eleição Geral Federal 2022;2022-10-30 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;411;E,E, MARECHAL RONDON;PRAÇA FRANCISCO ESCOBAR, 165;156;1228;2010;UE 2010;2;Presidente;13;LUIZ INÁCIO LULA DA SILVA;280001607829;272;190;82;178;67;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;545;Eleição Geral Federal 2022;2022-10-30 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;411;EMEF, PROFª PALMYRA SANTANNA;AV, PRES, JUSCELINO KUBITSCHEK DE OLIVEIRA, 6907;126;1082;2010;UE 2010;2;Presidente;96;VOTO NULO;-1;391;316;75;306;7;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;545;Eleição Geral Federal 2022;2022-10-30 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;411;EMEF, PROFª ÁUREA CANTINHO RODRIGUES;RUA IRÃ, 135;196;1287;2010;UE 2010;2;Presidente;22;JAIR MESSIAS BOLSONARO;280001618036;400;332;68;319;204;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;545;Eleição Geral Federal 2022;2022-10-30 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;127;FACULDADE APRIMORAR;RUA DOLZANI RICARDO, 314;356;2232;2010;UE 2010;2;Presidente;22;JAIR MESSIAS BOLSONARO;280001618036;228;171;57;164;99;2022-11-01 16:05:25;1
2022;2;Eleição Ordinária;545;Eleição Geral Federal 2022;2022-10-30 00:00:00;SP;70998;SÃO JOSÉ DOS CAMPOS;127;EE, EDERA IRENE PEREIRA DE OLIVEIRA CARDOSO;RUA SÃO JANUÁRIO, 81;653;2402;2020;UE 2020;2;Presidente;22;JAIR MESSIAS BOLSONARO;280001618036;379;290;89;276;173;2022-11-01 16:05:25;1
