nr_zona,nr_secao,nm_local_votacao,ds_local_votacao_endereco,nm_votavel,qt_votos
127,1,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,7
127,1,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,69
127,1,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,8
127,1,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,147
127,2,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,88
127,2,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,5
127,2,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,72
127,2,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,7
127,3,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,67
127,3,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,4
127,3,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,5
127,3,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,103
127,4,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,5
127,4,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,6
127,4,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,71
127,4,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,75
127,5,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,58
127,5,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,6
127,5,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,8
127,5,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,99
127,6,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,104
127,6,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,3
127,6,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,59
127,6,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,4
127,7,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,2
127,7,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,5
127,7,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,67
127,7,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,98
127,8,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,2
127,8,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,72
127,8,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,91
127,8,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,7
127,9,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,2
127,9,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,6
127,9,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,89
127,9,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,67
127,10,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,3
127,10,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,78
127,10,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,6
127,10,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,85
127,11,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,11
127,11,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,72
127,11,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,76
127,11,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,3
127,12,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,2
127,12,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,66
127,12,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,86
127,12,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,1
127,13,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",JAIR MESSIAS BOLSONARO,91
127,13,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,2
127,13,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,6
127,13,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ INÁCIO LULA DA SILVA,69
127,14,EMEI PROFª ELZA FERREIRA RAHAL,"RUA PARANA, 111",JAIR MESSIAS BOLSONARO,152
127,14,EMEI PROFª ELZA FERREIRA RAHAL,"RUA PARANA, 111",VOTO BRANCO,3
127,14,EMEI PROFª ELZA FERREIRA RAHAL,"RUA PARANA, 111",VOTO NULO,8
127,14,EMEI PROFª ELZA FERREIRA RAHAL,"RUA PARANA, 111",LUIZ INÁCIO LULA DA SILVA,105
127,15,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO BRANCO,5
127,15,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",LUIZ INÁCIO LULA DA SILVA,92
127,15,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",JAIR MESSIAS BOLSONARO,123
127,15,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO NULO,5
127,16,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",LUIZ INÁCIO LULA DA SILVA,65
127,16,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",JAIR MESSIAS BOLSONARO,129
127,16,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO BRANCO,7
127,16,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO NULO,9
127,17,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO BRANCO,2
127,17,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",LUIZ INÁCIO LULA DA SILVA,79
127,17,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO NULO,7
127,17,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",JAIR MESSIAS BOLSONARO,120
127,18,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",JAIR MESSIAS BOLSONARO,121
127,18,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",LUIZ INÁCIO LULA DA SILVA,75
127,18,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO BRANCO,8
127,18,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO NULO,7
127,19,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO BRANCO,2
127,19,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",JAIR MESSIAS BOLSONARO,111
127,19,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",LUIZ INÁCIO LULA DA SILVA,87
127,19,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO NULO,4
127,20,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",LUIZ INÁCIO LULA DA SILVA,92
127,20,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",JAIR MESSIAS BOLSONARO,120
127,20,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO NULO,7
127,20,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO BRANCO,5
127,21,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO NULO,9
127,21,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",JAIR MESSIAS BOLSONARO,115
127,21,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",LUIZ INÁCIO LULA DA SILVA,83
127,21,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO BRANCO,2
127,22,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO NULO,7
127,22,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",LUIZ INÁCIO LULA DA SILVA,83
127,22,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",JAIR MESSIAS BOLSONARO,120
127,23,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO BRANCO,5
127,23,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",LUIZ INÁCIO LULA DA SILVA,82
127,23,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO NULO,5
127,23,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",JAIR MESSIAS BOLSONARO,121
127,24,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",LUIZ INÁCIO LULA DA SILVA,74
127,24,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO NULO,9
127,24,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",JAIR MESSIAS BOLSONARO,126
127,24,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO BRANCO,1
127,25,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",LUIZ INÁCIO LULA DA SILVA,95
127,25,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO BRANCO,2
127,25,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",JAIR MESSIAS BOLSONARO,108
127,25,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO NULO,5
127,26,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",JAIR MESSIAS BOLSONARO,166
127,26,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO BRANCO,3
127,26,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",LUIZ INÁCIO LULA DA SILVA,90
127,26,"EE, PROFA, SUELY ANTUNES DE MELO","RUA SIQUEIRA CAMPOS, 845",VOTO NULO,7
127,110,"EE, DR, MAURICIO ANISSE CURY","AV,ENGENHEIRO FRANCISCO JOSÉ LONGO, 832",VOTO BRANCO,5
127,110,"EE, DR, MAURICIO ANISSE CURY","AV,ENGENHEIRO FRANCISCO JOSÉ LONGO, 832",LUIZ INÁCIO LULA DA SILVA,130
127,110,"EE, DR, MAURICIO ANISSE CURY","AV,ENGENHEIRO FRANCISCO JOSÉ LONGO, 832",JAIR MESSIAS BOLSONARO,217
127,110,"EE, DR, MAURICIO ANISSE CURY","AV,ENGENHEIRO FRANCISCO JOSÉ LONGO, 832",VOTO NULO,7
127,111,"EE, DR, MAURICIO ANISSE CURY","AV,ENGENHEIRO FRANCISCO JOSÉ LONGO, 832",LUIZ INÁCIO LULA DA SILVA,128
127,111,"EE, DR, MAURICIO ANISSE CURY","AV,ENGENHEIRO FRANCISCO JOSÉ LONGO, 832",VOTO BRANCO,3
