nr_zona,nr_secao,nm_local_votacao,ds_local_votacao_endereco,nm_votavel,qt_votos
127,1,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ CARLOS DE OLIVEIRA,1
127,1,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,4
127,1,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",FELÍCIO RAMUTH,141
127,1,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",ANTONIO DONIZETE FERREIRA,3
127,1,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",CLAUDE MARY DE MOURA,6
127,1,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,11
127,1,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",SHAKESPEARE VIANA CARVALHO,15
127,1,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",CARLOS JOSE DE ALMEIDA,48
127,2,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,20
127,2,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,14
127,2,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",CARLOS JOSE DE ALMEIDA,62
127,2,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",ANTONIO DONIZETE FERREIRA,1
127,2,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",SHAKESPEARE VIANA CARVALHO,27
127,2,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",FELÍCIO RAMUTH,135
127,2,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",CLAUDE MARY DE MOURA,7
127,3,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,17
127,3,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",CARLOS JOSE DE ALMEIDA,51
127,3,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ CARLOS DE OLIVEIRA,2
127,3,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",ANTONIO DONIZETE FERREIRA,2
127,3,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",SHAKESPEARE VIANA CARVALHO,20
127,3,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",CLAUDE MARY DE MOURA,5
127,3,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",FELÍCIO RAMUTH,155
127,3,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,11
127,4,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",CARLOS JOSE DE ALMEIDA,61
127,4,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",SHAKESPEARE VIANA CARVALHO,18
127,4,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",FELÍCIO RAMUTH,133
127,4,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,4
127,4,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,15
127,4,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ CARLOS DE OLIVEIRA,2
127,4,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",CLAUDE MARY DE MOURA,10
127,5,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",CLAUDE MARY DE MOURA,12
127,5,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",SHAKESPEARE VIANA CARVALHO,18
127,5,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO NULO,17
127,5,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",FELÍCIO RAMUTH,143
127,5,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,11
127,5,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",CARLOS JOSE DE ALMEIDA,59
127,5,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",LUIZ CARLOS DE OLIVEIRA,2
127,5,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",ANTONIO DONIZETE FERREIRA,4
127,6,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",CARLOS JOSE DE ALMEIDA,48
127,6,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",VOTO BRANCO,7
127,6,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",ANTONIO DONIZETE FERREIRA,7
127,6,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",SHAKESPEARE VIANA CARVALHO,29
127,6,"EE, OLÍMPIO CATÃO","PRAÇA AFONSO PENA, 364",FELÍCIO RAMUTH,160
